Date,Time,Weight (lb),Note
"5/26/21","00:54:04","184.4",""
"5/26/21","09:49:24","183.3",""
"5/27/21","10:33:01","184.6",""
"5/28/21","10:22:38","183.3",""
"5/29/21","11:08:16","183.3",""
"5/31/21","09:20:01","183.8",""
"6/1/21","11:26:38","182.7",""
"6/2/21","09:28:52","181.7",""
"6/3/21","11:07:36","184.0",""
"6/4/21","09:38:14","182.7",""
"6/6/21","13:09:44","183.3",""
"6/7/21","09:35:29","182.7",""
"6/8/21","09:30:35","183.1",""
"6/9/21","09:16:05","183.5",""
"4/18/26","07:34:42","197.0",""
"4/21/26","06:45:55","199.6",""
"4/22/26","07:14:27","199.6",""
